# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	6921789	1203	+							GO485_RS00005	1446		old_locus_tag=GO485_00005
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	6921789	1203	+	WP_145879543.1	WP_145879543.1		aldehyde dehydrogenase			GO485_RS00005	1446	481	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	1213	3063	+							GO485_RS00010	1851		old_locus_tag=GO485_00010
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	1213	3063	+	WP_145879541.1	WP_145879541.1		feruloyl-CoA synthase			GO485_RS00010	1851	616	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	3081	4241	+							GO485_RS00015	1161		old_locus_tag=GO485_00015
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	3081	4241	+	WP_145879538.1	WP_145879538.1		ABC transporter substrate-binding protein			GO485_RS00015	1161	386	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	4342	5874	+							GO485_RS00020	1533		old_locus_tag=GO485_00020
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	4342	5874	+	WP_145879536.1	WP_145879536.1		M48 family metallopeptidase			GO485_RS00020	1533	510	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	5925	6584	+							GO485_RS00025	660		old_locus_tag=GO485_00025
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	5925	6584	+	WP_145879533.1	WP_145879533.1		DJ-1/PfpI family protein			GO485_RS00025	660	219	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	6719	7837	+							GO485_RS00030	1119		old_locus_tag=GO485_00030
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	6719	7837	+	WP_145879531.1	WP_145879531.1		hypothetical protein			GO485_RS00030	1119	372	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	8074	9045	-							GO485_RS00035	972		old_locus_tag=GO485_00035
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	8074	9045	-	WP_145879528.1	WP_145879528.1		thymidylate synthase			GO485_RS00035	972	323	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	9095	10495	-							GO485_RS00040	1401		old_locus_tag=GO485_00040
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	9095	10495	-	WP_145879526.1	WP_145879526.1		DEAD/DEAH box helicase			GO485_RS00040	1401	466	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	10492	11583	-							GO485_RS00045	1092		old_locus_tag=GO485_00045
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	10492	11583	-	WP_145879524.1	WP_145879524.1		threonine aldolase			GO485_RS00045	1092	363	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	11576	13423	-							GO485_RS00050	1848		old_locus_tag=GO485_00050
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	11576	13423	-	WP_145879522.1	WP_145879522.1		ATP-binding cassette domain-containing protein			GO485_RS00050	1848	615	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	13444	14520	-							GO485_RS00055	1077		old_locus_tag=GO485_00055
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	13444	14520	-	WP_145879520.1	WP_145879520.1		carotenoid 1,2-hydratase			GO485_RS00055	1077	358	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	14520	17084	-							GO485_RS00060	2565		old_locus_tag=GO485_00060
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	14520	17084	-	WP_145879519.1	WP_145879519.1		FtsX-like permease family protein			GO485_RS00060	2565	854	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	17090	17509	-							GO485_RS00065	420		old_locus_tag=GO485_00065
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	17090	17509	-	WP_145879517.1	WP_145879517.1		DUF4124 domain-containing protein			GO485_RS00065	420	139	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	17506	18960	-							GO485_RS00070	1455		old_locus_tag=GO485_00070
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	17506	18960	-	WP_229418927.1	WP_229418927.1		FAD-binding oxidoreductase			GO485_RS00070	1455	484	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	18947	19354	-							GO485_RS00075	408		old_locus_tag=GO485_00075
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	18947	19354	-	WP_145879515.1	WP_145879515.1		DUF2069 domain-containing protein			GO485_RS00075	408	135	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	19354	19962	-					wrbA		GO485_RS00080	609		old_locus_tag=GO485_00080
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	19354	19962	-	WP_145879513.1	WP_145879513.1		NAD(P)H:quinone oxidoreductase	wrbA		GO485_RS00080	609	202	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	20029	21399	+							GO485_RS00085	1371		old_locus_tag=GO485_00085
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	20029	21399	+	WP_229418936.1	WP_229418936.1		YihY family inner membrane protein			GO485_RS00085	1371	456	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	21512	21967	+							GO485_RS00090	456		old_locus_tag=GO485_00090
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	21512	21967	+	WP_145879507.1	WP_145879507.1		CBS domain-containing protein			GO485_RS00090	456	151	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	22026	24257	-							GO485_RS00095	2232		old_locus_tag=GO485_00095
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	22026	24257	-	WP_145879505.1	WP_145879505.1		EAL domain-containing protein			GO485_RS00095	2232	743	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	24485	25588	+					aroC		GO485_RS00100	1104		old_locus_tag=GO485_00100
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	24485	25588	+	WP_145879503.1	WP_145879503.1		chorismate synthase	aroC		GO485_RS00100	1104	367	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	25634	27127	-							GO485_RS00105	1494		old_locus_tag=GO485_00105
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	25634	27127	-	WP_145879502.1	WP_145879502.1		HDOD domain-containing protein			GO485_RS00105	1494	497	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	27124	28812	-							GO485_RS00110	1689		old_locus_tag=GO485_00110
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	27124	28812	-	WP_229418926.1	WP_229418926.1		EAL domain-containing protein			GO485_RS00110	1689	562	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	29146	30828	+							GO485_RS00115	1683		old_locus_tag=GO485_00115
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	29146	30828	+	WP_145879498.1	WP_145879498.1		isovaleryl-CoA dehydrogenase			GO485_RS00115	1683	560	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	30910	31560	+					upp		GO485_RS00120	651		old_locus_tag=GO485_00120
CDS	with_protein	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	30910	31560	+	WP_145879496.1	WP_145879496.1		uracil phosphoribosyltransferase	upp		GO485_RS00120	651	216	
gene	protein_coding	GCF_009789595.1	Primary Assembly	chromosome		NZ_CP046904.1	31562	31915	+							GO485_RS00125	354		old_locus_tag=GO485_00125
