# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	6986975	579	-							BVG12_RS02395	1275		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	6986975	579	-	WP_075796158.1	WP_075796158.1		TolC family protein			BVG12_RS02395	1275	424	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	636	2567	-							BVG12_RS02400	1932		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	636	2567	-	WP_075791031.1	WP_075791031.1		FTR1 family protein			BVG12_RS02400	1932	643	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	2591	3829	-							BVG12_RS02405	1239		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	2591	3829	-	WP_075791032.1	WP_075791032.1		sodium:proton exchanger			BVG12_RS02405	1239	412	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	3930	4358	-							BVG12_RS33745	429		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	3930	4358	-	WP_141839240.1	WP_141839240.1		hypothetical protein			BVG12_RS33745	429	142	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	5049	7283	+					cadA		BVG12_RS02410	2235		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	5049	7283	+	WP_083685628.1	WP_083685628.1		cadmium-translocating P-type ATPase	cadA		BVG12_RS02410	2235	744	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	7842	9134	+							BVG12_RS02420	1293		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	7842	9134	+	WP_075791035.1	WP_075791035.1		TolC family protein			BVG12_RS02420	1293	430	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	9153	10367	+							BVG12_RS02425	1215		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	9153	10367	+	WP_075791036.1	WP_075791036.1		efflux RND transporter periplasmic adaptor subunit			BVG12_RS02425	1215	404	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	10382	13549	+							BVG12_RS02430	3168		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	10382	13549	+	WP_075791037.1	WP_075791037.1		CusA/CzcA family heavy metal efflux RND transporter			BVG12_RS02430	3168	1055	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	13660	13842	+							BVG12_RS33750	183		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	13660	13842	+	WP_156895505.1	WP_156895505.1		hypothetical protein			BVG12_RS33750	183	60	
gene	protein_coding	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	13883	14758	-							BVG12_RS02435	876		
CDS	with_protein	GCF_001941825.1	Primary Assembly	chromosome		NZ_CP019038.1	13883	14758	-	WP_083684434.1	WP_083684434.1		hypothetical protein			BVG12_RS02435	876	291	
