# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	7425802	1010	+					radA		FCL38_RS00005	1374		old_locus_tag=FCL38_00005
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	7425802	1010	+	WP_137311886.1	WP_137311886.1		DNA repair protein RadA	radA		FCL38_RS00005	1374	457	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	1115	1435	+							FCL38_RS00010	321		old_locus_tag=FCL38_00010
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	1115	1435	+	WP_137311887.1	WP_137311887.1		PilZ domain-containing protein			FCL38_RS00010	321	106	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	1542	2945	+					fliD		FCL38_RS00015	1404		old_locus_tag=FCL38_00015
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	1542	2945	+	WP_137311888.1	WP_137311888.1		flagellar filament capping protein FliD	fliD		FCL38_RS00015	1404	467	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	3304	3771	-					sixA		FCL38_RS00020	468		old_locus_tag=FCL38_00020
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	3304	3771	-	WP_137311889.1	WP_137311889.1		phosphohistidine phosphatase SixA	sixA		FCL38_RS00020	468	155	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	3829	5919	-					ppk1		FCL38_RS00025	2091		old_locus_tag=FCL38_00025
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	3829	5919	-	WP_137311890.1	WP_137311890.1		polyphosphate kinase 1	ppk1		FCL38_RS00025	2091	696	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	6232	7275	+					pstS		FCL38_RS00030	1044		old_locus_tag=FCL38_00030
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	6232	7275	+	WP_137311891.1	WP_137311891.1		phosphate ABC transporter substrate-binding protein PstS	pstS		FCL38_RS00030	1044	347	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	7405	8406	+					pstC		FCL38_RS00035	1002		old_locus_tag=FCL38_00035
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	7405	8406	+	WP_229422443.1	WP_229422443.1		phosphate ABC transporter permease subunit PstC	pstC		FCL38_RS00035	1002	333	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	8406	9278	+					pstA		FCL38_RS00040	873		old_locus_tag=FCL38_00040
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	8406	9278	+	WP_137311893.1	WP_137311893.1		phosphate ABC transporter permease PstA	pstA		FCL38_RS00040	873	290	
