# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1	1631	-							CR152_RS00005	1631		partial;old_locus_tag=CR152_00005
rRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1	1631	-				23S ribosomal RNA			CR152_RS00005	1631		partial
gene	tRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1863	1938	-							CR152_RS00010	76		old_locus_tag=CR152_00010
tRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1863	1938	-				tRNA-Ala			CR152_RS00010	76		anticodon=TGC
gene	tRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1961	2037	-							CR152_RS00015	77		old_locus_tag=CR152_00015
tRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	1961	2037	-				tRNA-Ile			CR152_RS00015	77		anticodon=GAT
gene	rRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	2129	3659	-							CR152_RS00020	1531		old_locus_tag=CR152_00020
rRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	2129	3659	-				16S ribosomal RNA			CR152_RS00020	1531		
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	4360	4842	+							CR152_RS32585	483		
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	4360	4842	+	WP_157778251.1	WP_157778251.1		hypothetical protein			CR152_RS32585	483	160	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	4878	5399	+							CR152_RS00030	522		old_locus_tag=CR152_00030
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	4878	5399	+	WP_157778252.1	WP_157778252.1		GGDEF domain-containing protein			CR152_RS00030	522	173	
gene	rRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	5890	6002	-					rrf		CR152_RS00035	113		old_locus_tag=CR152_00035
rRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	5890	6002	-				5S ribosomal RNA	rrf		CR152_RS00035	113		
gene	rRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	6151	9023	-							CR152_RS00040	2873		old_locus_tag=CR152_00040
rRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	6151	9023	-				23S ribosomal RNA			CR152_RS00040	2873		
gene	rRNA	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	9317	10847	-							CR152_RS00045	1531		old_locus_tag=CR152_00045
rRNA		GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	9317	10847	-				16S ribosomal RNA			CR152_RS00045	1531		
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	11255	11836	-							CR152_RS00050	582		old_locus_tag=CR152_00050
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	11255	11836	-	WP_229413223.1	WP_229413223.1		hypothetical protein			CR152_RS00050	582	193	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	12160	13647	+							CR152_RS00055	1488		old_locus_tag=CR152_00055
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	12160	13647	+	WP_099872614.1	WP_099872614.1		DUF4080 domain-containing protein			CR152_RS00055	1488	495	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	13755	14888	+							CR152_RS00060	1134		old_locus_tag=CR152_00060
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	13755	14888	+	WP_099872617.1	WP_099872617.1		ABC transporter permease			CR152_RS00060	1134	377	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	14930	15745	+							CR152_RS00065	816		old_locus_tag=CR152_00065
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	14930	15745	+	WP_229413758.1	WP_229413758.1		ATP-binding cassette domain-containing protein			CR152_RS00065	816	271	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	15749	16708	+							CR152_RS00070	960		old_locus_tag=CR152_00070
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	15749	16708	+	WP_099872623.1	WP_099872623.1		MlaD family protein			CR152_RS00070	960	319	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	16717	17364	+							CR152_RS00075	648		old_locus_tag=CR152_00075
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	16717	17364	+	WP_229413224.1	WP_229413224.1		ABC-type transport auxiliary lipoprotein family protein			CR152_RS00075	648	215	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	17361	18539	+							CR152_RS00080	1179		old_locus_tag=CR152_00080
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	17361	18539	+	WP_099872628.1	WP_099872628.1		VanZ family protein			CR152_RS00080	1179	392	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	18595	18912	+							CR152_RS00085	318		old_locus_tag=CR152_00085
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	18595	18912	+	WP_054265111.1	WP_054265111.1		ferredoxin			CR152_RS00085	318	105	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	18949	19590	+							CR152_RS00090	642		old_locus_tag=CR152_00090
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	18949	19590	+	WP_099881838.1	WP_099881838.1		alpha/beta hydrolase			CR152_RS00090	642	213	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	19636	20781	+							CR152_RS00095	1146		old_locus_tag=CR152_00095
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	19636	20781	+	WP_099872631.1	WP_099872631.1		D-alanyl-D-alanine carboxypeptidase			CR152_RS00095	1146	381	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	20858	21784	+							CR152_RS00100	927		old_locus_tag=CR152_00100
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	20858	21784	+	WP_099872634.1	WP_099872634.1		aldo/keto reductase			CR152_RS00100	927	308	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	21805	22104	+							CR152_RS00105	300		old_locus_tag=CR152_00105
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	21805	22104	+	WP_099872637.1	WP_099872637.1		metal-sensitive transcriptional regulator			CR152_RS00105	300	99	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	22124	22903	-					pssA		CR152_RS00110	780		old_locus_tag=CR152_00110
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	22124	22903	-	WP_229413225.1	WP_229413225.1		CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA		CR152_RS00110	780	259	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	23054	24001	+							CR152_RS00115	948		old_locus_tag=CR152_00115
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	23054	24001	+	WP_099872642.1	WP_099872642.1		CAP domain-containing protein			CR152_RS00115	948	315	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	24078	24710	+							CR152_RS00120	633		old_locus_tag=CR152_00120
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	24078	24710	+	WP_099872645.1	WP_099872645.1		Hpt domain-containing protein			CR152_RS00120	633	210	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	24744	24929	-							CR152_RS00125	186		old_locus_tag=CR152_00125
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	24744	24929	-	WP_229413226.1	WP_229413226.1		hypothetical protein			CR152_RS00125	186	61	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	25246	25800	-							CR152_RS00130	555		old_locus_tag=CR152_00130
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	25246	25800	-	WP_099872648.1	WP_099872648.1		DUF1439 domain-containing protein			CR152_RS00130	555	184	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	26355	27647	-							CR152_RS00135	1293		old_locus_tag=CR152_00140
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	26355	27647	-	WP_099872650.1	WP_099872650.1		RNA polymerase sigma factor			CR152_RS00135	1293	430	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	27669	28523	-							CR152_RS00140	855		old_locus_tag=CR152_00145
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	27669	28523	-	WP_167399852.1	WP_167399852.1		YciI family protein			CR152_RS00140	855	284	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	28618	29031	-							CR152_RS00145	414		old_locus_tag=CR152_00150
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	28618	29031	-	WP_099872656.1	WP_099872656.1		YciI family protein			CR152_RS00145	414	137	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	29033	29524	-							CR152_RS00150	492		old_locus_tag=CR152_00155
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	29033	29524	-	WP_099872659.1	WP_099872659.1		VOC family protein			CR152_RS00150	492	163	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	29550	30014	-							CR152_RS00155	465		old_locus_tag=CR152_00160
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	29550	30014	-	WP_099872662.1	WP_099872662.1		GyrI-like domain-containing protein			CR152_RS00155	465	154	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	30102	30887	-							CR152_RS00160	786		old_locus_tag=CR152_00165
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	30102	30887	-	WP_099872665.1	WP_099872665.1		EAL domain-containing protein			CR152_RS00160	786	261	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	31003	31518	-							CR152_RS00165	516		old_locus_tag=CR152_00170
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	31003	31518	-	WP_099872667.1	WP_099872667.1		hypothetical protein			CR152_RS00165	516	171	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	31628	32185	-							CR152_RS00170	558		old_locus_tag=CR152_00175
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	31628	32185	-	WP_099872670.1	WP_099872670.1		NADAR family protein			CR152_RS00170	558	185	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	32279	32575	-							CR152_RS33740	297		old_locus_tag=CR152_00180
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	32279	32575	-	WP_208640044.1	WP_208640044.1		DUF2695 domain-containing protein			CR152_RS33740	297	98	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	33217	34596	-					mnmE		CR152_RS00185	1380		old_locus_tag=CR152_00190
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	33217	34596	-	WP_099872675.1	WP_099872675.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		CR152_RS00185	1380	459	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	34709	36364	-					yidC		CR152_RS00190	1656		old_locus_tag=CR152_00195
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	34709	36364	-	WP_099872679.1	WP_099872679.1		membrane protein insertase YidC	yidC		CR152_RS00190	1656	551	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	36376	36636	-					yidD		CR152_RS00195	261		old_locus_tag=CR152_00200
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	36376	36636	-	WP_099872682.1	WP_099872682.1		membrane protein insertion efficiency factor YidD	yidD		CR152_RS00195	261	86	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	36633	37121	-					rnpA		CR152_RS00200	489		old_locus_tag=CR152_00205
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	36633	37121	-	WP_099872684.1	WP_099872684.1		ribonuclease P protein component	rnpA		CR152_RS00200	489	162	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	37154	37288	-					rpmH		CR152_RS00205	135		old_locus_tag=CR152_00210
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	37154	37288	-	WP_010401996.1	WP_010401996.1		50S ribosomal protein L34	rpmH		CR152_RS00205	135	44	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	37957	39372	+					dnaA		CR152_RS00210	1416		old_locus_tag=CR152_00215
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	37957	39372	+	WP_099872686.1	WP_099872686.1		chromosomal replication initiator protein DnaA	dnaA		CR152_RS00210	1416	471	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	39554	40660	+					dnaN		CR152_RS00215	1107		old_locus_tag=CR152_00220
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	39554	40660	+	WP_054265133.1	WP_054265133.1		DNA polymerase III subunit beta	dnaN		CR152_RS00215	1107	368	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	40842	43334	+					gyrB		CR152_RS00220	2493		old_locus_tag=CR152_00225
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	40842	43334	+	WP_099872689.1	WP_099872689.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CR152_RS00220	2493	830	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	43717	44919	+							CR152_RS00225	1203		old_locus_tag=CR152_00230
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	43717	44919	+	WP_157778253.1	WP_157778253.1		DNA cytosine methyltransferase			CR152_RS00225	1203	400	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	44916	45884	+							CR152_RS00230	969		old_locus_tag=CR152_00235
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	44916	45884	+	WP_099872696.1	WP_099872696.1		hypothetical protein			CR152_RS00230	969	322	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	45881	47905	+							CR152_RS32590	2025		
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	45881	47905	+	WP_157778254.1	WP_157778254.1		hypothetical protein			CR152_RS32590	2025	674	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	47908	48888	+							CR152_RS32595	981		
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	47908	48888	+	WP_157778255.1	WP_157778255.1		hypothetical protein			CR152_RS32595	981	326	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	49178	49462	-							CR152_RS00240	285		old_locus_tag=CR152_00245
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	49178	49462	-	WP_229413227.1	WP_229413227.1		AAA family ATPase			CR152_RS00240	285	94	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	49719	50330	+							CR152_RS00245	612		old_locus_tag=CR152_00250
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	49719	50330	+	WP_099872701.1	WP_099872701.1		DUF2760 domain-containing protein			CR152_RS00245	612	203	
gene	protein_coding	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	50327	52168	+							CR152_RS00250	1842		old_locus_tag=CR152_00255
CDS	with_protein	GCF_002752675.1	Primary Assembly	chromosome		NZ_CP024608.1	50327	52168	+	WP_099872703.1	WP_099872703.1		Hsp70 family protein			CR152_RS00250	1842	613	
