# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	181	1614	+					dnaA		C9I28_RS00005	1434		old_locus_tag=C9I28_00005
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	181	1614	+	WP_107139620.1	WP_107139620.1		chromosomal replication initiator protein DnaA	dnaA		C9I28_RS00005	1434	477	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	1819	2925	+					dnaN		C9I28_RS00010	1107		old_locus_tag=C9I28_00010
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	1819	2925	+	WP_107139621.1	WP_107139621.1		DNA polymerase III subunit beta	dnaN		C9I28_RS00010	1107	368	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	2984	5482	+					gyrB		C9I28_RS00015	2499		old_locus_tag=C9I28_00015
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	2984	5482	+	WP_107139622.1	WP_107139622.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		C9I28_RS00015	2499	832	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	5538	5798	-							C9I28_RS00020	261		old_locus_tag=C9I28_00020
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	5538	5798	-	WP_107144306.1	WP_107144306.1		PAAR domain-containing protein			C9I28_RS00020	261	86	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	5804	7486	-							C9I28_RS00025	1683		old_locus_tag=C9I28_00025
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	5804	7486	-	WP_181259240.1	WP_181259240.1		DUF2235 domain-containing protein			C9I28_RS00025	1683	560	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	7479	8102	-							C9I28_RS00030	624		old_locus_tag=C9I28_00030
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	7479	8102	-	WP_107139624.1	WP_107139624.1		DUF3304 domain-containing protein			C9I28_RS00030	624	207	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	8117	8944	-							C9I28_RS00035	828		old_locus_tag=C9I28_00035
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	8117	8944	-	WP_107139625.1	WP_107139625.1		DUF4123 domain-containing protein			C9I28_RS00035	828	275	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	8941	11535	-							C9I28_RS00040	2595		old_locus_tag=C9I28_00040
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	8941	11535	-	WP_107139626.1	WP_107139626.1		type VI secretion system tip protein VgrG			C9I28_RS00040	2595	864	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	11612	12532	-							C9I28_RS00045	921		old_locus_tag=C9I28_00045
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	11612	12532	-	WP_107139627.1	WP_107139627.1		LysR family transcriptional regulator			C9I28_RS00045	921	306	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	12645	13433	+							C9I28_RS00050	789		old_locus_tag=C9I28_00050
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	12645	13433	+	WP_107139628.1	WP_107139628.1		SDR family NAD(P)-dependent oxidoreductase			C9I28_RS00050	789	262	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	13434	14366	-							C9I28_RS00055	933		old_locus_tag=C9I28_00055
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	13434	14366	-	WP_107139629.1	WP_107139629.1		hypothetical protein			C9I28_RS00055	933	310	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	14368	15642	-							C9I28_RS00060	1275		old_locus_tag=C9I28_00060
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	14368	15642	-	WP_107139630.1	WP_107139630.1		NAD(P)/FAD-dependent oxidoreductase			C9I28_RS00060	1275	424	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	15639	15977	-							C9I28_RS00065	339		old_locus_tag=C9I28_00065
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	15639	15977	-	WP_229415844.1	WP_229415844.1		cytochrome C			C9I28_RS00065	339	112	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	15988	16740	-					soxA		C9I28_RS00070	753		old_locus_tag=C9I28_00070
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	15988	16740	-	WP_107139632.1	WP_107139632.1		sulfur oxidation c-type cytochrome SoxA	soxA		C9I28_RS00070	753	250	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	16737	17063	-					soxZ		C9I28_RS00075	327		old_locus_tag=C9I28_00075
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	16737	17063	-	WP_229415845.1	WP_229415845.1		thiosulfate oxidation carrier complex protein SoxZ	soxZ		C9I28_RS00075	327	108	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	17060	17512	-							C9I28_RS00080	453		old_locus_tag=C9I28_00080
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	17060	17512	-	WP_107139633.1	WP_107139633.1		SoxY-related AACIE arm protein			C9I28_RS00080	453	150	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	17509	17901	-					soxX		C9I28_RS00085	393		old_locus_tag=C9I28_00085
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	17509	17901	-	WP_107144308.1	WP_107144308.1		sulfur oxidation c-type cytochrome SoxX	soxX		C9I28_RS00085	393	130	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	18004	20169	-							C9I28_RS00090	2166		old_locus_tag=C9I28_00090
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	18004	20169	-	WP_107139634.1	WP_107139634.1		molybdopterin-dependent oxidoreductase			C9I28_RS00090	2166	721	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	20166	20669	-							C9I28_RS00095	504		old_locus_tag=C9I28_00095
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	20166	20669	-	WP_107139635.1	WP_107139635.1		(2Fe-2S)-binding protein			C9I28_RS00095	504	167	
gene	pseudogene	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	20824	21434	+							C9I28_RS00100	611		pseudo;old_locus_tag=C9I28_00100
CDS	without_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	20824	21434	+				outer membrane beta-barrel protein			C9I28_RS00100	611		pseudo
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	21492	21929	-							C9I28_RS00105	438		old_locus_tag=C9I28_00105
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	21492	21929	-	WP_107139636.1	WP_107139636.1		DUF2244 domain-containing protein			C9I28_RS00105	438	145	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	22157	23854	+							C9I28_RS00110	1698		old_locus_tag=C9I28_00110
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	22157	23854	+	WP_107139637.1	WP_107139637.1		methyl-accepting chemotaxis protein			C9I28_RS00110	1698	565	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	23937	24191	-							C9I28_RS00115	255		old_locus_tag=C9I28_00115
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	23937	24191	-	WP_146171834.1	WP_146171834.1		hypothetical protein			C9I28_RS00115	255	84	
gene	pseudogene	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	24206	25266	-							C9I28_RS28435	1061		pseudo
CDS	without_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	24206	25266	-				S8 family serine peptidase			C9I28_RS28435	1061		pseudo
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	26237	27436	-							C9I28_RS00130	1200		old_locus_tag=C9I28_00130
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	26237	27436	-	WP_229415846.1	WP_229415846.1		hybrid sensor histidine kinase/response regulator			C9I28_RS00130	1200	399	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	27433	28038	-							C9I28_RS00135	606		old_locus_tag=C9I28_00135
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	27433	28038	-	WP_107139642.1	WP_107139642.1		chemotaxis protein CheB			C9I28_RS00135	606	201	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	28038	28868	-							C9I28_RS00140	831		old_locus_tag=C9I28_00140
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	28038	28868	-	WP_107139643.1	WP_107139643.1		protein-glutamate O-methyltransferase CheR			C9I28_RS00140	831	276	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	28870	32370	-							C9I28_RS00145	3501		old_locus_tag=C9I28_00145
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	28870	32370	-	WP_107139644.1	WP_107139644.1		response regulator			C9I28_RS00145	3501	1166	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	32491	32895	+							C9I28_RS00150	405		old_locus_tag=C9I28_00150
CDS	with_protein	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	32491	32895	+	WP_107139645.1	WP_107139645.1		hypothetical protein			C9I28_RS00150	405	134	
gene	protein_coding	GCF_003028855.1	Primary Assembly	chromosome		NZ_CP028324.1	32962	33525	-					folE		C9I28_RS00155	564		old_locus_tag=C9I28_00155
