# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	7436940	814	+							EYF70_RS00005	1032		old_locus_tag=EYF70_00005
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	7436940	814	+	WP_131143548.1	WP_131143548.1		arginine N-succinyltransferase			EYF70_RS00005	1032	343	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	825	1871	+					astA		EYF70_RS00010	1047		old_locus_tag=EYF70_00010
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	825	1871	+	WP_131143549.1	WP_131143549.1		arginine N-succinyltransferase	astA		EYF70_RS00010	1047	348	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	1880	3367	+					astD		EYF70_RS00015	1488		old_locus_tag=EYF70_00015
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	1880	3367	+	WP_131143550.1	WP_131143550.1		succinylglutamate-semialdehyde dehydrogenase	astD		EYF70_RS00015	1488	495	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	3387	4727	+					astB		EYF70_RS00020	1341		old_locus_tag=EYF70_00020
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	3387	4727	+	WP_131143551.1	WP_131143551.1		N-succinylarginine dihydrolase	astB		EYF70_RS00020	1341	446	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	4861	9624	+							EYF70_RS00025	4764		old_locus_tag=EYF70_00025
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	4861	9624	+	WP_131143552.1	WP_131143552.1		NAD-glutamate dehydrogenase			EYF70_RS00025	4764	1587	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	9626	10624	+							EYF70_RS00030	999		old_locus_tag=EYF70_00030
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	9626	10624	+	WP_131143553.1	WP_131143553.1		succinylglutamate desuccinylase			EYF70_RS00030	999	332	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	10693	10980	-							EYF70_RS00035	288		old_locus_tag=EYF70_00035
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	10693	10980	-	WP_131143554.1	WP_131143554.1		hypothetical protein			EYF70_RS00035	288	95	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	11147	12259	+							EYF70_RS00040	1113		old_locus_tag=EYF70_00040
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	11147	12259	+	WP_131143555.1	WP_131143555.1		NADH:flavin oxidoreductase/NADH oxidase			EYF70_RS00040	1113	370	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	12325	12963	+							EYF70_RS00045	639		old_locus_tag=EYF70_00045
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	12325	12963	+	WP_131143556.1	WP_131143556.1		HAD hydrolase-like protein			EYF70_RS00045	639	212	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	13225	14730	+							EYF70_RS00050	1506		old_locus_tag=EYF70_00050
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	13225	14730	+	WP_174800379.1	WP_174800379.1		amino acid permease			EYF70_RS00050	1506	501	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	14747	16687	+							EYF70_RS00055	1941		old_locus_tag=EYF70_00055
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	14747	16687	+	WP_131143558.1	WP_131143558.1		S9 family peptidase			EYF70_RS00055	1941	646	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	16739	17005	-							EYF70_RS00060	267		old_locus_tag=EYF70_00060
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	16739	17005	-	WP_131143559.1	WP_131143559.1		hypothetical protein			EYF70_RS00060	267	88	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	17258	17611	-							EYF70_RS00065	354		old_locus_tag=EYF70_00065
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	17258	17611	-	WP_229420638.1	WP_229420638.1		energy transducer TonB			EYF70_RS00065	354	117	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	18353	18598	-							EYF70_RS00070	246		old_locus_tag=EYF70_00070
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	18353	18598	-	WP_131143560.1	WP_131143560.1		hypothetical protein			EYF70_RS00070	246	81	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	18839	21241	+							EYF70_RS00075	2403		old_locus_tag=EYF70_00075
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	18839	21241	+	WP_165497537.1	WP_165497537.1		ABC transporter permease			EYF70_RS00075	2403	800	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	21346	23424	+							EYF70_RS00080	2079		old_locus_tag=EYF70_00080
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	21346	23424	+	WP_131143562.1	WP_131143562.1		TonB-dependent siderophore receptor			EYF70_RS00080	2079	692	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	23448	23789	-							EYF70_RS00085	342		old_locus_tag=EYF70_00085
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	23448	23789	-	WP_131143563.1	WP_131143563.1		YkgJ family cysteine cluster protein			EYF70_RS00085	342	113	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	23886	26081	-							EYF70_RS00090	2196		old_locus_tag=EYF70_00090
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	23886	26081	-	WP_131143564.1	WP_131143564.1		FUSC family protein			EYF70_RS00090	2196	731	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	26095	27792	-							EYF70_RS00095	1698		old_locus_tag=EYF70_00095
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	26095	27792	-	WP_131143565.1	WP_131143565.1		peptidase M14			EYF70_RS00095	1698	565	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	28157	28906	+							EYF70_RS00100	750		old_locus_tag=EYF70_00100
CDS	with_protein	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	28157	28906	+	WP_131143566.1	WP_131143566.1		MBL fold metallo-hydrolase			EYF70_RS00100	750	249	
gene	protein_coding	GCF_004322755.1	Primary Assembly	chromosome		NZ_CP036401.1	28950	29507	-							EYF70_RS00105	558		old_locus_tag=EYF70_00105
