# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	69	1454	+					cysS		E1742_RS00005	1386		old_locus_tag=E1742_00005
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	69	1454	+	WP_134382592.1	WP_134382592.1		cysteine--tRNA ligase	cysS		E1742_RS00005	1386	461	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	1454	2128	+							E1742_RS00010	675		old_locus_tag=E1742_00010
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	1454	2128	+	WP_134382594.1	WP_134382594.1		DNA-3-methyladenine glycosylase			E1742_RS00010	675	224	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	2196	3170	+							E1742_RS00015	975		old_locus_tag=E1742_00015
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	2196	3170	+	WP_134382596.1	WP_134382596.1		acetyl-CoA carboxylase carboxyltransferase subunit alpha			E1742_RS00015	975	324	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	3286	4647	+					tilS		E1742_RS00020	1362		old_locus_tag=E1742_00020
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	3286	4647	+	WP_134382598.1	WP_134382598.1		tRNA lysidine(34) synthetase TilS	tilS		E1742_RS00020	1362	453	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	4786	6033	+							E1742_RS00025	1248		old_locus_tag=E1742_00025
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	4786	6033	+	WP_134382600.1	WP_134382600.1		aspartate kinase			E1742_RS00025	1248	415	
gene	tRNA	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	6151	6243	+							E1742_RS00030	93		old_locus_tag=E1742_00030
tRNA		GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	6151	6243	+				tRNA-Ser			E1742_RS00030	93		anticodon=GCT
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	7013	9268	+							E1742_RS00040	2256		old_locus_tag=E1742_00040
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	7013	9268	+	WP_134382603.1	WP_134382603.1		PhoX family phosphatase			E1742_RS00040	2256	751	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	9544	10818	-							E1742_RS00045	1275		old_locus_tag=E1742_00045
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	9544	10818	-	WP_134382604.1	WP_134382604.1		aminotransferase class V-fold PLP-dependent enzyme			E1742_RS00045	1275	424	
gene	pseudogene	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	11002	11716	-							E1742_RS00050	715		pseudo;old_locus_tag=E1742_00050
CDS	without_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	11002	11716	-				ABC transporter ATP-binding protein			E1742_RS00050	715		pseudo
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	11724	13133	-							E1742_RS00055	1410		old_locus_tag=E1742_00055
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	11724	13133	-	WP_134382605.1	WP_134382605.1		ABC transporter permease subunit			E1742_RS00055	1410	469	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	13130	14566	-							E1742_RS00060	1437		old_locus_tag=E1742_00060
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	13130	14566	-	WP_134382606.1	WP_134382606.1		DUF3526 domain-containing protein			E1742_RS00060	1437	478	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	14566	16491	-							E1742_RS00065	1926		old_locus_tag=E1742_00065
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	14566	16491	-	WP_134382607.1	WP_134382607.1		TonB-dependent siderophore receptor			E1742_RS00065	1926	641	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	16482	16682	-							E1742_RS00070	201		old_locus_tag=E1742_00070
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	16482	16682	-	WP_134382609.1	WP_134382609.1		hypothetical protein			E1742_RS00070	201	66	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	16905	18554	-							E1742_RS00075	1650		old_locus_tag=E1742_00075
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	16905	18554	-	WP_229466370.1	WP_229466370.1		M14 family metallopeptidase			E1742_RS00075	1650	549	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	18835	20145	+							E1742_RS26495	1311		
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	18835	20145	+	WP_229466372.1	WP_229466372.1		TonB-dependent receptor plug domain-containing protein			E1742_RS26495	1311	436	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	20148	20882	+							E1742_RS26500	735		
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	20148	20882	+	WP_229466374.1	WP_229466374.1		TonB-dependent receptor			E1742_RS26500	735	244	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	20982	21680	-							E1742_RS00085	699		old_locus_tag=E1742_00085
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	20982	21680	-	WP_134382613.1	WP_134382613.1		hypothetical protein			E1742_RS00085	699	232	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	21847	22524	-							E1742_RS00090	678		old_locus_tag=E1742_00090
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	21847	22524	-	WP_134382615.1	WP_134382615.1		hypothetical protein			E1742_RS00090	678	225	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	22933	25629	+							E1742_RS00095	2697		old_locus_tag=E1742_00095
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	22933	25629	+	WP_166793368.1	WP_166793368.1		EAL domain-containing protein			E1742_RS00095	2697	898	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	25678	26325	-							E1742_RS00100	648		old_locus_tag=E1742_00100
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	25678	26325	-	WP_166793369.1	WP_166793369.1		TetR/AcrR family transcriptional regulator			E1742_RS00100	648	215	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	26562	27287	-							E1742_RS00105	726		old_locus_tag=E1742_00105
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	26562	27287	-	WP_134382621.1	WP_134382621.1		ribonuclease activity regulator RraA			E1742_RS00105	726	241	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	27284	28057	-							E1742_RS00110	774		old_locus_tag=E1742_00110
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	27284	28057	-	WP_134382623.1	WP_134382623.1		polysaccharide lyase family 7 protein			E1742_RS00110	774	257	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	28054	28809	-							E1742_RS00115	756		old_locus_tag=E1742_00115
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	28054	28809	-	WP_134382625.1	WP_134382625.1		GDSL-type esterase/lipase family protein			E1742_RS00115	756	251	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	28822	30141	-							E1742_RS00120	1320		old_locus_tag=E1742_00120
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	28822	30141	-	WP_206076716.1	WP_206076716.1		MFS transporter			E1742_RS00120	1320	439	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	30173	31129	-							E1742_RS00125	957		old_locus_tag=E1742_00125
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	30173	31129	-	WP_134382629.1	WP_134382629.1		sugar kinase			E1742_RS00125	957	318	
gene	protein_coding	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	31122	33140	-							E1742_RS00130	2019		old_locus_tag=E1742_00130
CDS	with_protein	GCF_004421005.1	Primary Assembly	chromosome		NZ_CP038026.1	31122	33140	-	WP_134382631.1	WP_134382631.1		DUF4962 domain-containing protein			E1742_RS00130	2019	672	
